direccion,smp,seccion,manzana,parcela,centroide,srid,smp_anterior,smp_siguiente,pdamatriz,superficie_total,superficie_cubierta,frente,fondo,propiedad_horizontal,pisos_bajo_rasante,pisos_sobre_rasante,unidades_funcionales,locales,vuc,fuente,cantidad_puertas,sup_max_edificable,sup_edificable_planta,altura_max,altura_max_plano_limite,unidad_edificabilidad,plusvalia_em,plusvalia_pl,plusvalia_sl,incidencia_uva,alicuota,distrito_cpu,fot_medianera,fot_perim_libre,fot_semi_libre,fot_em_2,fot_pl_2,fot_sl_2,smp_linderas,aph_linderas,rivolta,denominacion,proteccion,estado,ley_3056,catalogacion,distrito_agrupado,distrito_especifico,tipica,riesgo_hidrico,lep,ensanche,apertura,ci_digital,subzona,croquis_parcela,perimetro_manzana,plano_indice,disposicio,pdf,irregular,superficie_parcela,adps,memo,microcentr,puertasesq
"""DEL LIBERTADOR AV. 5002""",023-123-001A,023,123,001A,"[-58.4371385955615, -34.5636846909194]",4326,023-123-025,023-123-003,413340,568.00,708.00,16.40,34.64,No,0,1,0,0,0.00,AGIP (2008),1,0,616.150900000134,"[38.0, 0.0, 0.0, 0.0]",,"[38.0, 0.0, 0.0, 0.0]",,,,,,,,,,,,,"023-123-003, 023-123-025",,0,,,,,"{'denominacion': None, 'proteccion': None, 'estado': None, 'ley_3056': None, 'catalogacion': None}",,,,,,,,,,,,,,,False,616.2,,,,DEL LIBERTADOR AV. 5002
"""DEL LIBERTADOR AV. 5026""",023-123-003,023,123,003,"[-58.43741395179441, -34.563660745319936]",4326,023-123-001A,023-123-004A,413339,829.00,816.00,17.66,46.94,No,0,1,0,0,0.00,AGIP (2008),1,0,773.770565132133,"[38.0, 0.0, 0.0, 0.0]",,"[38.0, 0.0, 0.0, 0.0]",,,,,,,,,,,,,"023-123-025, 023-123-001a, 023-123-022b, 023-123-004a, 023-123-024",,0,,,,,"{'denominacion': None, 'proteccion': None, 'estado': None, 'ley_3056': None, 'catalogacion': None}",,,,,,,,,,,,,,,False,800.5,,,,DEL LIBERTADOR AV. 5026
"""DEL LIBERTADOR AV. 5038""",023-123-004A,023,123,004A,"[-58.43759752801783, -34.56360949435866]",4326,023-123-003,023-123-005B,413338,837.00,7548.00,18.58,45.05,Si,0,14,54,0,0.00,AGIP (2008),4,0,621.085072122292,"[38.0, 0.0, 0.0, 0.0]",,"[38.0, 0.0, 0.0, 0.0]",,,,,,,,,,,,,"023-123-005b, 023-123-003, 023-123-022b, 023-123-018",,0,,,,,"{'denominacion': None, 'proteccion': None, 'estado': None, 'ley_3056': None, 'catalogacion': None}",,,,,,,,,,,,,,,False,878.9,,,,"DEL LIBERTADOR AV. 5038, DEL LIBERTADOR AV. 5040, DEL LIBERTADOR AV. 5042, DEL LIBERTADOR AV. 5044"
"""DEL LIBERTADOR AV. 5048""",023-123-005B,023,123,005B,"[-58.43779568754086, -34.56359028906471]",4326,023-123-004A,023-123-006,413337,619.00,3654.00,9.07,68.25,Si,1,14,13,0,0.00,AGIP (2008),2,0,272.26245280716,"[38.0, 0.0, 0.0, 0.0]",,"[38.0, 0.0, 0.0, 0.0]",,,,,,,,,,,,,"023-123-004a, 023-123-016a, 023-123-006, 023-123-018, 023-123-017, 023-123-007a, 023-123-015",,0,,,,,"{'denominacion': None, 'proteccion': None, 'estado': None, 'ley_3056': None, 'catalogacion': None}",,,,,,,,,,,,,,,False,613.3,,,,"DEL LIBERTADOR AV. 5048, DEL LIBERTADOR AV. 5052"
"""DEL LIBERTADOR AV. 5056""",023-123-006,023,123,006,"[-58.437767021909174, -34.56346481785134]",4326,023-123-005B,023-123-007A,413336,244.00,3714.00,9.00,27.11,Si,1,16,14,0,0.00,AGIP (2008),2,0,250.370700000006,"[38.0, 0.0, 0.0, 0.0]",,"[38.0, 0.0, 0.0, 0.0]",,,,,,,,,,,,,"023-123-005b, 023-123-007a, 023-123-015",,0,,,,,"{'denominacion': None, 'proteccion': None, 'estado': None, 'ley_3056': None, 'catalogacion': None}",,,,,,,,,,,,,,,False,250.4,,,,"DEL LIBERTADOR AV. 5056, DEL LIBERTADOR AV. 5060"
"""DEL LIBERTADOR AV. 5064""",023-123-007A,023,123,007A,"[-58.43787803059807, -34.56341106997224]",4326,023-123-006,023-123-007D,416251,365.00,5446.00,18.54,19.69,Si,1,15,29,0,0.00,AGIP (2008),2,0,360.29025000017,"[38.0, 0.0, 0.0, 0.0]",,"[38.0, 0.0, 0.0, 0.0]",,,,,,,,,,,,,"023-123-006, 023-123-007d, 023-123-015, 023-123-005b",,0,,,,,"{'denominacion': None, 'proteccion': None, 'estado': None, 'ley_3056': None, 'catalogacion': None}",,,,,,,,,,,,,,,False,360.3,,,,"DEL LIBERTADOR AV. 5064, DEL LIBERTADOR AV. 5068"
"""DEL LIBERTADOR AV. 5072""",023-123-007D,023,123,007D,"[-58.4380523874403, -34.56339742948932]",4326,023-123-007A,023-123-007E,416252,501.00,6296.00,16.81,29.80,Si,1,14,28,0,0.00,AGIP (2008),3,0,488.752049999866,"[38.0, 0.0, 0.0, 0.0]",,"[38.0, 0.0, 0.0, 0.0]",,,,,,,,,,,,,"023-123-015, 023-123-008, 023-123-007a, 023-123-007e",,0,,,,,"{'denominacion': None, 'proteccion': None, 'estado': None, 'ley_3056': None, 'catalogacion': None}",,,,,,,,,,,,,,,False,488.8,,,,"DEL LIBERTADOR AV. 5072, DEL LIBERTADOR AV. 5080, DEL LIBERTADOR AV. 5088"
"""DEL LIBERTADOR AV. 5092""",023-123-007E,023,123,007E,"[-58.43823917205809, -34.563318541806126]",4326,023-123-007D,023-123-008,416250,460.00,6801.00,18.28,25.17,Si,0,16,29,0,0.00,AGIP (2008),3,0,463.445000000129,"[38.0, 0.0, 0.0, 0.0]",,"[38.0, 0.0, 0.0, 0.0]",,,,,,,,,,,,,"023-123-007d, 023-123-008",,0,,,,,"{'denominacion': None, 'proteccion': None, 'estado': None, 'ley_3056': None, 'catalogacion': None}",,,,,,,,,,,,,,,False,463.5,,,,"DEL LIBERTADOR AV. 5092, DEL LIBERTADOR AV. 5100, LACROZE, FEDERICO 1618"
"""LACROZE, FEDERICO 1620""",023-123-008,023,123,008,"[-58.438241434999135, -34.5634786322956]",4326,023-123-007E,023-123-009,413333,372.00,4519.00,8.64,43.06,Si,0,15,27,0,0.00,AGIP (2008),1,0,368.887100000122,"[22.8, 0.0, 0.0, 0.0]",,"[22.8, 0.0, 0.0, 0.0]",,,,,,,,,,,,,"023-123-007d, 023-123-009, 023-123-015, 023-123-007e",,0,,,,,"{'denominacion': None, 'proteccion': None, 'estado': None, 'ley_3056': None, 'catalogacion': None}",,,,,,,,,,,,,,,False,368.9,,,,"LACROZE, FEDERICO 1620"
"""LACROZE, FEDERICO 1648""",023-123-009,023,123,009,"[-58.43829466280715, -34.5635418323524]",4326,023-123-008,023-123-010,413332,369.00,0.00,8.66,42.60,No,0,0,50,0,0.00,AGIP (2008),2,0,368.330950000016,"[22.8, 0.0, 0.0, 0.0]",,"[22.8, 0.0, 0.0, 0.0]",,,,,,,,,,,,,"023-123-013, 023-123-010, 023-123-015, 023-123-014, 023-123-008",,0,,,,,"{'denominacion': None, 'proteccion': None, 'estado': None, 'ley_3056': None, 'catalogacion': None}",,,,,,,,,,,,,,,False,368.3,,,,"LACROZE, FEDERICO 1648, LACROZE, FEDERICO 1650"
"""LACROZE, FEDERICO 1658""",023-123-010,023,123,010,"[-58.43842328941096, -34.56355564340145]",4326,023-123-009,023-123-011A,413331,196.00,574.00,7.79,25.16,No,0,1,0,0,0.00,AGIP (2008),2,0,198.480750000077,"[22.8, 0.0, 0.0, 0.0]",,"[22.8, 0.0, 0.0, 0.0]",,,,,,,,,,,,,"023-123-009, 023-123-011a, 023-123-013, 023-123-012",,0,,,,,"{'denominacion': None, 'proteccion': None, 'estado': None, 'ley_3056': None, 'catalogacion': None}",,,,,,,,,,,,,,,False,198.5,,,,"LACROZE, FEDERICO 1658, LACROZE, FEDERICO 1660"
"""LACROZE, FEDERICO 1684""",023-123-011A,023,123,011A,"[-58.43851094618212, -34.563591569890185]",4326,023-123-010,023-123-011B,414923,138.00,421.00,7.96,17.34,Si,0,4,7,0,0.00,AGIP (2008),1,0,140.50020000022,"[22.8, 0.0, 0.0, 0.0]",,"[22.8, 0.0, 0.0, 0.0]",,,,,,,,,,,,,"023-123-012, 023-123-010, 023-123-011b",,0,,,,,"{'denominacion': None, 'proteccion': None, 'estado': None, 'ley_3056': None, 'catalogacion': None}",,,,,,,,,,,,,,,False,140.5,,,,"LACROZE, FEDERICO 1684"
"""LACROZE, FEDERICO 1694""",023-123-011B,023,123,011B,"[-58.4385646866123, -34.56365804880806]",4326,023-123-011A,023-123-012,414922,163.00,162.00,13.05,12.49,No,0,1,0,0,0.00,AGIP (2008),3,0,163.278299999911,"[22.8, 0.0, 0.0, 0.0]",,"[22.8, 0.0, 0.0, 0.0]",,,,,,,,,,,,,"023-123-012, 023-123-011a",,0,,,,,"{'denominacion': None, 'proteccion': 'DESESTIMADO', 'estado': 'NOTA CAAP', 'ley_3056': 'SI', 'catalogacion': None}",,,,,,,,,,,,,,,False,163.4,,,,"LACROZE, FEDERICO 1694, MIGUELETES 1195, MIGUELETES 1199"
"""MIGUELETES 1183""",023-123-012,023,123,012,"[-58.43842904382314, -34.56369604950219]",4326,023-123-011B,023-123-013,413329,156.00,223.00,8.66,18.01,No,0,1,0,0,0.00,AGIP (2008),1,0,156.944500000007,"[22.8, 0.0, 0.0, 0.0]",,"[22.8, 0.0, 0.0, 0.0]",,,,,,,,,,,,,"023-123-013, 023-123-011a, 023-123-010, 023-123-011b",,0,,,,,"{'denominacion': None, 'proteccion': 'DESESTIMADO', 'estado': 'NOTA CAAP', 'ley_3056': 'SI', 'catalogacion': None}",,,,,,,,,,,,,,,False,156.9,,,,MIGUELETES 1183
"""MIGUELETES 1173""",023-123-013,023,123,013,"[-58.43832754158344, -34.5637128216501]",4326,023-123-012,023-123-014,413328,225.00,216.00,8.66,25.98,No,0,1,0,0,0.00,AGIP (2008),1,0,227.286200000064,"[22.8, 0.0, 0.0, 0.0]",,"[22.8, 0.0, 0.0, 0.0]",,,,,,,,,,,,,"023-123-012, 023-123-014, 023-123-010, 023-123-009",,0,,,,,"{'denominacion': None, 'proteccion': 'DESESTIMADO', 'estado': 'NOTA CAAP', 'ley_3056': 'SI', 'catalogacion': None}",,,,,,,,,,,,,,,False,227.4,,,,MIGUELETES 1173
"""MIGUELETES 1167""",023-123-014,023,123,014,"[-58.438251853817896, -34.56375972259258]",4326,023-123-013,023-123-015,413327,225.00,228.00,8.66,25.98,No,0,1,0,0,0.00,AGIP (2008),2,0,224.620600000242,"[22.8, 0.0, 0.0, 0.0]",,"[22.8, 0.0, 0.0, 0.0]",,,,,,,,,,,,,"023-123-013, 023-123-015, 023-123-009",,0,,,,,"{'denominacion': None, 'proteccion': None, 'estado': None, 'ley_3056': None, 'catalogacion': None}",,,,,,,,,,,,,,,False,224.6,,,,"MIGUELETES 1167, MIGUELETES 1169"
"""MIGUELETES 1161""",023-123-015,023,123,015,"[-58.43809465883429, -34.563710939219845]",4326,023-123-014,023-123-016A,413326,446.00,375.00,8.63,51.68,Si,0,1,6,0,0.00,AGIP (2008),1,0,244.980419729653,"[22.8, 0.0, 0.0, 0.0]",,"[22.8, 0.0, 0.0, 0.0]",,,,,,,,,,,,,"023-123-009, 023-123-014, 023-123-007a, 023-123-016a, 023-123-008, 023-123-006, 023-123-007d, 023-123-005b",,0,,,,,"{'denominacion': None, 'proteccion': 'DESESTIMADO', 'estado': 'NOTA CAAP', 'ley_3056': 'SI', 'catalogacion': None}",,,,,,,,,,,,,,,False,441.0,,,,MIGUELETES 1161
"""MIGUELETES 1153""",023-123-016A,023,123,016A,"[-58.438091576192235, -34.56384145461075]",4326,023-123-015,023-123-017,413325,250.00,2113.00,8.66,28.86,Si,0,9,16,0,0.00,AGIP (2008),2,0,251.140242073152,"[22.8, 0.0, 0.0, 0.0]",,"[22.8, 0.0, 0.0, 0.0]",,,,,,,,,,,,,"023-123-015, 023-123-005b, 023-123-017",,0,,,,,"{'denominacion': None, 'proteccion': None, 'estado': None, 'ley_3056': None, 'catalogacion': None}",,,,,,,,,,,,,,,False,251.4,,,,"MIGUELETES 1153, MIGUELETES 1155"
"""MIGUELETES 1145""",023-123-017,023,123,017,"[-58.437990066974066, -34.5638596411156]",4326,023-123-016A,023-123-018,413324,314.00,2425.00,8.60,36.51,Si,1,9,16,0,0.00,AGIP (2008),1,0,245.473187254066,"[22.8, 0.0, 0.0, 0.0]",,"[22.8, 0.0, 0.0, 0.0]",,,,,,,,,,,,,"023-123-018, 023-123-016a, 023-123-005b",,0,,,,,"{'denominacion': None, 'proteccion': 'DESESTIMADO', 'estado': 'NOTA CAAP', 'ley_3056': 'NO', 'catalogacion': None}",,,,,,,,,,,,,,,False,312.5,,,,MIGUELETES 1145
"""MIGUELETES 1133""",023-123-018,023,123,018,"[-58.43787695206789, -34.56392915887552]",4326,023-123-017,023-123-019,413323,632.00,3367.00,17.30,36.53,No,0,1,0,0,0.00,AGIP (2008),2,0,491.528432441418,"[22.8, 0.0, 0.0, 0.0]",,"[22.8, 0.0, 0.0, 0.0]",,,,,,,,,,,,,"023-123-022b, 023-123-019, 023-123-004a, 023-123-017, 023-123-005b",,0,,,,,"{'denominacion': None, 'proteccion': None, 'estado': None, 'ley_3056': None, 'catalogacion': None}",,,,,,,,,,,,,,,False,622.2,,,,"MIGUELETES 1133, MIGUELETES 1135"
"""MIGUELETES 1123""",023-123-019,023,123,019,"[-58.437795839305345, -34.564035745128365]",4326,023-123-018,023-123-020A,413322,224.00,1802.00,8.61,26.02,Si,0,10,18,0,0.00,AGIP (2008),2,0,226.344299999931,"[22.8, 0.0, 0.0, 0.0]",,"[22.8, 0.0, 0.0, 0.0]",,,,,,,,,,,,,"023-123-022b, 023-123-020a, 023-123-018, 023-123-021",,0,,,,,"{'denominacion': None, 'proteccion': None, 'estado': None, 'ley_3056': None, 'catalogacion': None}",,,,,,,,,,,,,,,False,226.3,,,,"MIGUELETES 1123, MIGUELETES 1127"
"""MIGUELETES 1117""",023-123-020A,023,123,020A,"[-58.43772905503056, -34.56412460781723]",4326,023-123-019,023-123-020B,414795,216.00,591.00,12.81,16.86,Si,0,3,13,0,0.00,AGIP (2008),1,0,216.842500000133,"[22.8, 0.0, 0.0, 0.0]",,"[22.8, 0.0, 0.0, 0.0]",,,,,,,,,,,,,"023-123-020c, 023-123-019, 023-123-021, 023-123-020b",,0,,,,,"{'denominacion': None, 'proteccion': None, 'estado': None, 'ley_3056': None, 'catalogacion': None}",,,,,,,,,,,,,,,False,216.8,,,,MIGUELETES 1117
"""MIGUELETES 1107""",023-123-020B,023,123,020B,"[-58.43762737803685, -34.56422973051955]",4326,023-123-020A,023-123-020C,414794,141.00,470.00,5.00,28.20,Si,0,3,9,0,0.00,AGIP (2008),1,0,141.265550000262,"[22.8, 0.0, 0.0, 0.0]",,"[22.8, 0.0, 0.0, 0.0]",,,,,,,,,,,,,"023-123-020a, 023-123-020c",,0,,,,,"{'denominacion': None, 'proteccion': None, 'estado': None, 'ley_3056': None, 'catalogacion': None}",,,,,,,,,,,,,,,False,141.3,,,,MIGUELETES 1107
"""OLLEROS AV. 1693""",023-123-020C,023,123,020C,"[-58.43756425336786, -34.5641742384413]",4326,023-123-020B,023-123-021,414793,153.00,514.00,8.50,18.00,Si,0,4,7,0,0.00,AGIP (2008),2,0,149.804150000104,"[22.8, 0.0, 0.0, 0.0]",,"[22.8, 0.0, 0.0, 0.0]",,,,,,,,,,,,,"023-123-020b, 023-123-020a, 023-123-021",,0,,,,,"{'denominacion': None, 'proteccion': None, 'estado': None, 'ley_3056': None, 'catalogacion': None}",,,,,,,,,,,,,,,False,149.8,,,,"OLLEROS AV. 1693, OLLEROS AV. 1696"
"""OLLEROS AV. 1673""",023-123-021,023,123,021,"[-58.437563030686384, -34.5640804987528]",4326,023-123-020C,023-123-022B,413345,274.00,1118.00,8.66,31.64,Si,0,5,9,0,0.00,AGIP (2008),1,0,275.97710000002,"[22.8, 0.0, 0.0, 0.0]",,"[22.8, 0.0, 0.0, 0.0]",,,,,,,,,,,,,"023-123-019, 023-123-020c, 023-123-020a, 023-123-022b",,0,,,,,"{'denominacion': None, 'proteccion': None, 'estado': None, 'ley_3056': None, 'catalogacion': None}",,,,,,,,,,,,,,,False,276.0,,,,OLLEROS AV. 1673
"""OLLEROS AV. 1643""",023-123-022B,023,123,022B,"[-58.43750960180894, -34.56396579222722]",4326,023-123-021,023-123-024,,,,,,,,,,,,,4,0,689.571578441601,"[22.8, 0.0, 0.0, 0.0]",,"[22.8, 0.0, 0.0, 0.0]",,,,,,,,,,,,,"023-123-021, 023-123-003, 023-123-019, 023-123-018, 023-123-004a, 023-123-024",,0,,,,,"{'denominacion': None, 'proteccion': 'DESESTIMADO', 'estado': 'NOTA CAAP', 'ley_3056': 'SI', 'catalogacion': None}",,,,,,,,,,,,,,,False,736.3,,,,"OLLEROS AV. 1643, OLLEROS AV. 1645, OLLEROS AV. 1667, OLLEROS AV. 1669"
"""OLLEROS AV. 1637""",023-123-024,023,123,024,"[-58.43734656891066, -34.563918900184674]",4326,023-123-022B,023-123-025,413342,231.00,1735.00,8.67,26.64,Si,0,8,16,0,0.00,AGIP (2008),2,0,233.452149999944,"[22.8, 0.0, 0.0, 0.0]",,"[22.8, 0.0, 0.0, 0.0]",,,,,,,,,,,,,"023-123-025, 023-123-022b, 023-123-003",,0,,,,,"{'denominacion': None, 'proteccion': None, 'estado': None, 'ley_3056': None, 'catalogacion': None}",,,,,,,,,,,,,,,False,233.4,,,,"OLLEROS AV. 1637, OLLEROS AV. 1641"
"""OLLEROS AV. 1617""",023-123-025,023,123,025,"[-58.43725624788018, -34.56382848310655]",4326,023-123-024,023-123-001A,413341,499.00,1100.00,17.47,28.56,Si,0,3,23,0,0.00,AGIP (2008),3,0,491.161700000028,"[22.8, 0.0, 0.0, 0.0]",,"[22.8, 0.0, 0.0, 0.0]",,,,,,,,,,,,,"023-123-001a, 023-123-024, 023-123-003",,0,,,,,"{'denominacion': None, 'proteccion': None, 'estado': None, 'ley_3056': None, 'catalogacion': None}",,,,,,,,,,,,,,,False,491.1,,,,"OLLEROS AV. 1617, OLLEROS AV. 1619, OLLEROS AV. 1621"
